day,type,,,title,,,,,,,,,,,,,author,,,,,abstract,,,,,,
Wed,Poster,,,"Bridging Bioconductor and nf-core: toward portable, reproducible and scalable biological pipelines",,,,,,,,,,,,,Júlia Mir Pedrol,,,,,"Bioconductor offers a wide range of open-source tools for the analysis of biological data. Despite its extensive functionality, the deployment and reproducibility of these tools can remain challenging. This is a reflection of a broader issue in bioinformatics, where sharing code in a reusable and reproducible way is essential for advancing science. However, achieving portability and scalability continues to present technical obstacles. 
To address these challenges, workflow management systems like Nextflow are widely used.  Nextflow facilitates the development of portable, reproducible, and scalable data analysis pipelines whose standards are defined and maintained by the nf-core community. nf-core is a community that curates a collection of best-practice pipelines written in Nextflow. By adhering to nf-core standards, developers benefit from automated testing, continuous updates, compatibility across multiple computational environments, and community-driven enhancements. nf-core also provides a repository of modular reusable components (modules and subworkflows) and a dedicated command-line package to support the development and execution of pipelines.
Importantly, several nf-core pipelines rely on Bioconductor packages, creating a powerful synergy. This integration enables robust workflows that combine the tools from Bioconductor with the advantages of nf-core pipelines.
In this work, we explore the current landscape of Bioconductor and nf-core integration. We showcase practical examples of how Bioconductor packages can be incorporated into nf-core pipelines and highlight the benefits of doing so.
By connecting these two active communities, we aim to foster collaboration, exploit complementary strengths, and advance the development of accurate, reproducible, and scalable solutions for biological data analysis.
",julia.mir@crg.eu,,,,,
Thu,Poster,,,Benchmarking CNV-Based Approaches for Tumor Cell Classification Using Matched Single-Cell Genomic and Transcriptomic Data ,,,,,,,,,,,,,Nicolò Gnoato,,,,,"In single-cell RNA sequencing (scRNA-seq) analyses of cancer samples, distinguishing tumor cells from normal cells is a critical yet challenging task—one that is often underestimated or insufficiently addressed in many studies. Many existing methods rely on marker genes or machine learning models based on a reference expression set. However, these approaches face major limitations when applied to cancer datasets: the identification of robust, stable and cancer-specific markers is complicated by the high inter and intra-tumoral variability, while ML models often suffer from biases due to limited or poorly annotated training data. In fact, cancers are generally highly heterogeneous diseases, that can also vary significantly between patients but even among cells of the same tumor mass.
Although tumor cells can sometimes be mistaken for normal cells at the transcriptomic level—since they often reactivate pathways typical of normal cells —from a genomic perspective, they exhibit highly rearranged DNA that clearly distinguishes them from healthy cells.
The large-scale genomic rearrangements, which can lead to aberrant gene expression and disruption of key cellular processes can be captured by genomic Copy Number Variations (CNVs). Recently several tools attempt the inference of CNV from the scRNA-seq data. Thus, to overcome tumor cell detection challenge in single-cell RNAseq data, cancer-specific genome rearrangements can be used. Different CNV detection tools vary in performance, and this can impact also the tumor cell detection thus accurately characterizing CNVs is essential for identifying cancer cells in scRNA-seq data. While CNV inference methods have been benchmarked (refs here), their use for tumor cell detection has not been systematically reviewed.
In this study, we assess the accuracy of CNV inference and tumor cell detection by testing multiple tools across diverse datasets, including matched WGS and scRNA-seq data, synthetic mixtures with known proportions of normal cells, and samples with both scWGS and scRNA-seq. Our results provide a critical evaluation of current methods, highlighting their strengths and limitations, and offering practical guidelines for their use in cancer research.",nicolo.gnoato@phd.unipd.it,,,,,
Wed,Poster,,,Geospatial variation in human hologenomics profiles,,,,,,,,,,,,,João Paulo Cassucci dos Santos,,,,,"The human microbiome varies within and across geographical regions. However, modeling spatial variation is challenging due to data sparsity and confounding factors. We use probabilistic analysis with the conditional autoregression (CAR) method to analyse population-level geographical variation in human microbiome. Since such methods are computationally costly, we used a scalable approach - the integrated nested Laplacian approximation (INLA) to perform Bayesian inference. The INLA method is supported by a community of R developers, and we are working towards Bioconductor-compatible methodology for geospatial metagenomics.  We evaluate the methodology with simulated and real data and discuss current challenges in geospatial analysis of microbiome variation. ",joaopaulocassuccidossantos@gmail.com,,,,,
Thu,Poster,,,Bioconductor packages to gene expression signature development in oncology,,,,,,,,,,,,,Irene Agustí Barea,,,,,"Gene expression signatures in cancer represent specific patterns of gene activity that can have a prognostic or predictive significance. Developing a gene signature using RNA-seq data involves several key steps: identification of candidate genes, quantification of signature scores and validation of their predictive or prognostic value; often involving multiple Bioconductor packages.
To identify relevant genes, the standard approach is to perform a differential expression analysis using tools such as limma/voom, edgeR or DESeq2 . The activity of the selected signature genes can then be quantified using several scoring methods. Unsupervised techniques like PCA can be used to define scores based on the first principal component using the selected genes. However, these results often highly depend on the cohort analyzed. To address these limitations, single-sample methods have been developed, such as GSVA or singscore, which uses rank-based statistics to provide more robust and reproducible quantification. 
In clinical contexts, it is essential to validate the prognostic performance of a gene signature using survival data. Packages like SigCheck facilitate this processing by enabling comparisons between the survival outcomes associated with the gene signature and those from random or previously established signatures.
Here, we have developed a gene expression signature to predict response to an alternative therapy to standard hormonal treatment on Estrogen Receptor-positive breast cancer using RNA-seq data obtained from patient-derived xenograft models (PDX).
",ireneagusti@vhio.net,,,,,
Wed,Poster,,,Analysis pipeline of whole exome sequencing of patient-derived xenograft samples: from fastq to oncoplot,,,,,,,,,,,,,Alba Mas Malavila,,,,,"Patient-derived xenografts (PDX), generated by implantation of patient tumor tissues into immunocompromised mice, are used as models that recapitulate the tumor landscape, being very valuable in cancer treatment studies. Their genomic characterization is essential for elucidating the molecular mechanisms associated to cancer development and progression and response to treatment. Moreover, visualization of potentially relevant genomic alterations identified in multiple tumor samples, also known as oncoplot, provides an overview of the cohort, which is very useful for exploratory analysis.
Here we present a pipeline to create an oncoplot starting with whole exome sequencing (WES) data of a set of PDX samples, involving multiple steps that use diverse tools written in diverse programming languages. The first steps of quality control and filtering of mouse reads are performed using the command-line tools FastQC, fastp and BBSplit, each of them encapsulated into Singularity containers. The alignment and variant calling are performed with nf-core/sarek pipeline, which uses BWA-mem to align reads on the genome, Mutect2 to call somatic SNPs and short indels, and SnpEff to annotate the variants. The resulting vcf file is further annotated with oncogenic predictions from CGI and OncoKB, parsed and converted into Excel format using and in-house program written in Python -and also encapsulated into a Singularity container-. Finally, an oncoplot is created using an in-house R package that acts as a customized wrapper of functions from several R libraries including the Bioconductor libraries maftools, designed for analysis and visualization of MAF (Mutation Annotation Format) files, and ComplexHeatmap, which provides the OncoPrint function, specifically designed for the visualization of multiple genomic alterations by heatmap.
The implementation of the pipeline enables the analysis of large sets of samples in an automated and reproducible manner, from FASTQ files to the final oncoplot, and its modular nature facilitates a stepwise execution as well as updating and debugging.",albamas@vhio.net,,,,,
Thu,Poster,,,cellpaintr: R/Bioconductor Package and Workflow for CellProfiler,,,,,,,,,,,,,Christof Seiler,,,,,"High-content imaging can capture detailed morphological and functional features on a single-cell level. It has been widely used in drug screen assays and for generating large-scale image datasets for machine learning models. Software such as CellProfiler extract features from high-content images for downstream analysis. CellProfiler implements a suite of traditional image processing algorithms to segment cells and extract about 1,000 morphological and texture features.

To simplify data analysis of CellProfiler features in R—many options exist in Python, such as PyCytominer—we developed an R/Bioconductor package. Our package leverages Bioconductor objects for batch correction and dimension reduction, lowering the learning curve for users familiar with single-cell RNA sequencing workflows.

Our package is available at https://github.com/christofseiler/cellpaintr.",Christof.Seiler@usz.ch,,,,,
Wed,Poster,,Paper57,SAMURAI: shallow analysis of copy number alterations using a reproducible and integrated bioinformatics pipeline,Poster,8,"8,7,9",7.8,"7.7,7,8.7","genomics: next-flow pipeline (uses also Bioconductor packages) for copy-number variation analysis using shallow genome sequencing; While SAMURAI addresses a significant need for standardized sWGS analysis, there are several established tools and methods for CNA detection. The novelty lies more in the integration and reproducibility rather than a groundbreaking approach to analysis. Given the broader availability of similar methods, the appeal of SAMURAI may be stronger among users needing a reproducible and customizable pipeline rather than new algorithmic approaches. The utility of the pipeline is evident, but the novelty is in its integration and standardization, rather than a breakthrough method.; The authors describe a new pipeline called SAMURAI for the analysis of shallow whole genome seqeuncing data to identify copy number alterations. The pipeline is build on a variety of Bioconductor packages and offers a scalable and reproducible analysis of sWGS data analysis. The authors already presented their work at lasts years EuroBioC in the form of a poster. So I think it would be nice, if they could present the progress of their work in this year's conference.",poster,,,Poster;Poster;Poster,3,1,"Sara Potente,Diego Boscarino,Dino Paladin,Sergio Marchini,Luca Beltrame,Chiara Romualdi","Department of Biology, University of Padova, Italy",female,"Genetics/genomics,Developer tools",,"Introduction:  Shallow Whole Genome Sequencing (sWGS) has become a cost-effective method for genomic analysis, particularly in identifying copy number alterations (CNAs). However, the lack of standardized pipelines for sWGS data analysis presents a significant challenge towards robustness and reproducibility of the results. To address this gap, we have developed SAMURAI (Shallow Analysis of copy nuMber alterations Using a Reproducible And Integrated bioinformatics pipeline), a modular, reproducible pipeline tailored for sWGS CNA analysis.  Methods:  SAMURAI was built in compliance with nf-core community guidelines and is fully containerized to ensure reproducibility and scalability across computing environments. The pipeline comprises modular blocks for data pre-processing, copy number analysis, and reporting. Users can specify the sample type—solid tumor or liquid biopsy (e.g., circulating tumor DNA)—with tailored tools integrated for each context.  Results:  The pre-processing module standardizes input preparation before branching into CNA detection using a suite of state-of-the-art algorithms to detect CNAs. and custom scripts.  SAMURAI includes many R/Bioconductor packages  (QDNAseq [1], ASCAT.sc [2], CINSignatureQuantification [3], ichorCNA [4], Maftools [5]), harmonizing outputs for streamlined downstream analysis. A final report provides detailed results useful for data interpretation. Validation with both simulated and real-world clinical datasets showed high concordance with ground truth CNAs and consistent performance across multiple conditions, demonstrating its robustness and reliability.   Discussion:  SAMURAI enables efficient and reproducible CNA detection from sWGS data, particularly in cancer genomics. Its modular structure and R/Bioconductor core make it accessible and customizable, providing researchers with a reliable framework for both exploratory and clinical genomic analysis.  Conclusion:  In conclusion, SAMURAI offers a reliable and versatile pipeline for analyzing CNAs from sWGS data. Its adherence to community guidelines and containerized software ensures reproducibility and scalability, making it an helpful tool for researchers in diverse environments, and potentially contributing to advancements in precision medicine.  References 1. Scheinin I, Sie D, Bengtsson H, et al. DNA copy number analysis of fresh and formalin-fixed specimens by shallow whole-genome sequencing with identification and exclusion of problematic regions in the genome assembly. Genome Res. 2014; 24:2022–2032 2. VanLoo P. ASCAT.sc. 2021;  3. Drews RM, Hernando B, Tarabichi M, et al. A pan-cancer compendium of chromosomal instability. Nature 2022; 606:976–983 4. Adalsteinsson VA, Ha G, Freeman SS, et al. Scalable whole-exome sequencing of cell-free DNA reveals high concordance with metastatic tumors. Nat. Commun. 2017; 8:1324 5. Mayakonda A, Lin D-C, Assenov Y, et al. Maftools: efficient and comprehensive analysis of somatic variants in cancer. Genome Res. 2018; 28:1747–1756",sara.potente@phd.unipd.it,"My name is Sara Potente, and I am a second-year PhD student in Genetics, Genomics, and Bioinformatics at the Department of Biology, University of Padua, Italy. As a bioinformatician, my research focuses on detecting copy number alterations and structural variants from various sequencing technologies, particularly in the context of cancer genomics. I am eager to attend the upcoming EuroBioC2025 conference, which will take place in September in Barcelona. This event represents a key opportunity for my academic and professional development. Having attended the last Bioconductor conference, I experienced firsthand how valuable such events are for expanding my scientific knowledge, generating new research ideas, and forming meaningful connections in the bioinformatics community. I received insightful feedback on my work and built relationships that continue to support my growth as a researcher. I am excited to engage with the latest developments in the Bioconductor ecosystem. I look forward to learning from experts in the field, presenting my own research, and exploring potential collaborations that could significantly advance my PhD project. Given the costs of travel and accommodation from Italy, and considering that I have already relocated within the country to pursue my doctoral studies, financial support would greatly ease the burden of attending this important event. Receiving a travel grant would allow me to focus on making the most of the conference—learning, networking, and contributing to the community. Upon returning to Italy, I intend to share the knowledge and insights gained at EuroBioC2025 with my research group and broader network, amplifying the impact of this experience. I am deeply grateful for the opportunity to apply for this travel scholarship and appreciate your kind consideration. Thank you for your support. Sincerely, Sara Potente",,,,
Wed,Poster,,Paper5,Interoperability of Bioconductor packages within the ELIXIR Research Software Ecosystem using the EDAM ontology,Poster,7.7,"8,8,7",7.5,"7.7,7.8,7",Ontologies: use the EDAM ontology to describe Bioconductor package metadata and  automate their integration into the bio.tools registry; Pros- The abstract is well written and clear- It touches on the important issue of increasing the visibility and interoperability of Bioconductor packages that goes well beyond the Bioconductor community.- It is an important endeavour for Bioconductor developers to improve the dissemination of their work and for the Bioconductor project to attract a larger user base; Good to see interoperability -- not expert in the field to evaluate its relevance,poster,,,Poster;Poster;Poster,3,1,"Claire Rioualen,Maria Doyle,Alban Gaignard,Vincent James Carey,Hervé Ménager","Institut Français de Bioinformatique, CNRS UAR 3601, Évry, France",female,"Infrastructure,Developer tools",,"Bioconductor packages are currently annotated using the biocViews controlled vocabulary (Carey et al., 2024), structured as a graph with nearly 500 terms, of which 175 are meant for software annotation. In order to ensure the consistency of the annotations, an automated validation is performed by BiocCheck upon submission of a new package. This ensures that packages include valid biocViews terms and meet the minimum requirement of at least two non-top-level terms. However, it lacks the formal structure of an ontology and is specific to the Bioconductor project, thereby limiting both the semantic search capabilities as well as the interoperability of the packages .  EDAM (Ison et al., 2013) is a domain ontology specialised in data analysis and management concepts in biosciences, making it a good candidate for the annotation of Bioconductor software packages. Furthermore, EDAM is a key component for the Findability, Accessibility, Interoperability, and Reusability (FAIR principles) within ELIXIR resources, including the ELIXIR Research Software Ecosystem (RSEc) (Ienasescu et al. 2023) and the bio.tools registry (Ison et al., 2019). bio.tools holds a collection of more than 30,000 entries, curated and annotated using EDAM terms, and provides enhanced search capacities through an API for easy programmatic access to the database. In order to increase the visibility and interoperability of Bioconductor packages, as well as the coverage and validity of Bioconductor in the RSEc, we aim to use the EDAM ontology to describe Bioconductor package metadata, and to automate their integration into the bio.tools registry.  Our first results towards these objectives include mapping the biocViews vocabulary to EDAM, initiating the curation of a reference set of packages with manual annotations to be used as a gold standard, integrating Bioconductor metadata into the RSEc with automated updates, and prototyping a tool for automated EDAM term suggestions.  Together, these achievements establish a strong foundation for further integration and refinement of Bioconductor package descriptions. It will also consequently improve their integration within the Galaxy toolshed through the bio.tools registry of software. Beyond advancing the FAIRification of resources for life science research, this initiative builds a collaborative bridge between the Bioconductor, ELIXIR and Galaxy communities.",claire.rioualen@france-bioinformatique.fr,No,,,,
Wed,Poster,,Paper41,"Bringing Omics together with MOVIDA: MultiOmics Visualization, Integration and Downstream Analyses",Poster,7.7,"8,8,7",7.5,"7.8,7.6,7","MOVIDA is a (not yet available) package for the visualisation and integration of omics data, and from the description it does so in depth (several modalities, using state-of-the-art integration methods, being user-friendly). It might be an issue if the package is not yet available, hence my recommendation for poster but not short talk; ShinyApp to visualize results from multiomics studies.; A package to integrate and visualise multi-omics data for drill downanalysis on multiple omics layers at the same time. Application on asystemic lupus erythematosus cohort. Good fit for a poster.",poster,,,Poster;Poster;Poster,3,1,"Edoardo Filippi,Myriam Meineck,Paul Claßen,Federico Marini,Julia Weinmann-Menke","Institute of Medical Biostatistics, Epidemiology and Informatics (IMBEI), Mainz; Department of Nephrology, Universitätsmedizin Mainz, Mainz",male,"Transcriptomics,Proteomics,Multiomics/integration,Visualization",,"The ever increasing adoption of growth of different high-throughput omics technologies has led to an abundance of data across various biological layers, including transcriptomics, proteomics, and metabolomics, and such scenarios are becoming increasingly common in many life and medical science applications.  Integrating and visualizing these complex multi-omics datasets is crucial for a more comprehensive biological understanding, but remains a significant challenge due to data complexity and heterogeneity. We are developing a tool capable of integrating and visualizing multi-omics data in an efficient and compelling manner, facilitating the exploration of relationships between different biological features and their multiple layers, such as genes, proteins, and metabolites. The goal is to allow the user to easily perform a drill down analysis on multiple omics layers at the same time, with a focus on an easy and effective interpretation of results that often encompass multiple contrasts. This tool will also interface to different integration methods (e.g. MOFA, moClusters), and additionally enable the integration of results at the level of features and pathways. While still delivering support for reproducible analyses, we intend to have interactive and in-depth exploration (via the Shiny framework) as a key approach to achieve this.  We will use our tool to analyze transcriptomics, proteomics, and metabolomics data from patients with systemic lupus erythematosus (SLE), a complex autoimmune disease marked by highly individualized clinical trajectories. This will serve to deepen the understanding of its pathogenesis, identify potential biomarkers, and, in particular, support the development of more personalized therapeutic strategies.",edoardo.filippi@uni-mainz.de,No,,,,
Wed,Poster,,Paper22,DoReMiTra: A curated data package for radiation DOse REsponse Measured In TRAnscriptomics,Poster,7.7,"8,7,8",7.3,"7.2,6.6,8","This abstract introduces a package and is very useful for this conference.; Data package, collection of transcriptomics experiments after radiation (various types).; It addresses a real need for harmonized datasets across diverse radiation types and conditions, and supports integration with Bioconductor workflows. The resource is clearly useful for comparative and biomarker discovery studies. While the focus is on data curation rather than novel methodology, its relevance and utility are clear. Accept as a poster—a strong contribution for resource sharing and community engagement.",poster,,,Poster;Poster;Poster,3,1,"Ahmed Salah,Sebastian Zahnreich,Federico Marini","1. Department of Radiooncology and Radiotherapy, Mainz. 2. Institute of Medical Biostatistics, Epidemiology and Informatics (IMBEI), Mainz",male,"Transcriptomics,Visualization",,"Radiation biology research increasingly relies on transcriptomic profiling to uncover the molecular mechanisms underlying cellular responses to ionizing radiation. However, the diversity of radiation types and their intensities—each with distinct energy deposition patterns and biological effects—poses a challenge for integrative analysis. To address this, we present DoReMiTra, a comprehensive and curated data package aggregating transcriptomic datasets from multiple experiments either performed by our group or published by others involving X-ray, gamma ray, and neutron exposures. DoReMiTra harmonizes data from publicly available high-throughput studies, standardizing metadata related to radiation dose, time post-exposure, biological model, and platform technology. It includes gene expression matrices, accompanying experimental metadata, and annotations that facilitate comparative analysis across radiation types and conditions. This data package not only streamlines access to a curated transcriptomic landscape, investigating radiation effects, but is also designed for seamless integration with state-of-the-art R/Bioconductor analysis workflows. We demonstrate the utility of DoReMiTra through exploratory analyses identifying shared and radiation-specific gene expression signatures, dose-response patterns, and pathway enrichments. By enabling side-by-side comparisons of transcriptomic responses across radiation qualities, DoReMiTra serves as a valuable resource for radiobiology researchers and a key tool for developing biomarkers of radiation exposure in the context of radiotherapy and biodosimetry, encouraging reproducibility and meta-analyses in radiation genomics research.",ahhassan@uni-mainz.de,No,,,,
